,topspeed,acceleration,weight,handling
c01,9.977953886350922e-16,7.925828386804183e-16,-2.6152148359627136e-16,1.2972635847756648e-15
c02,8.881784197001252e-16,0.0,8.881784197001252e-16,8.881784197001252e-16
c03,-0.19999999999999923,0.19999999999999982,-0.19999999999999923,0.20000000000000007
c04,-0.2000000000000001,0.2000000000000003,-0.19999999999999998,0.19999999999999998
c05,-0.19999999999999954,0.19999999999999957,-0.19999999999999968,0.19999999999999984
c06,0.2000000000000004,-0.19999999999999987,0.2,-0.19999999999999993
c07,0.20000000000000043,-0.19999999999999987,0.20000000000000034,-0.20000000000000018
c08,-0.39999999999999963,0.3999999999999996,-0.3999999999999998,0.3999999999999996
c09,-0.39999999999999986,0.39999999999999986,-0.3999999999999999,0.3999999999999993
c10,0.3999999999999998,-0.40000000000000013,0.4000000000000003,-0.4000000000000001
c11,0.4,-0.4000000000000004,0.40000000000000047,-0.40000000000000024
